3 2 -11.6318 -3.8    -23.80216414
3 3 -11.6318 -3.7    -23.70248413
3 4 -11.6318 -3.6    -23.60288672
3 5 -11.6318 -3.5    -23.50339314
3 6 -11.6318 -3.4    -23.40403003
3 7 -11.6318 -3.3     -23.3048308
3 8 -11.6318 -3.2    -23.20583727
3 9 -11.6318 -3.1    -23.10710176
3 10 -11.6318 -3     -23.0086896
3 11 -11.6318 -2.9    -22.91068215
3 12 -11.6318 -2.8    -22.81318053
3 13 -11.6318 -2.7    -22.71630993
3 14 -11.6318 -2.6    -22.62022472
3 15 -11.6318 -2.5    -22.52511423
3 16 -11.6318 -2.4    -22.43120906
3 17 -11.6318 -2.3    -22.33878777
3 18 -11.6318 -2.2    -22.24818322
3 19 -11.6318 -2.1     -22.1597879
3 20 -11.6318 -2    -22.07405678
3 21 -11.6318 -1.9    -21.99150613
3 22 -11.6318 -1.8    -21.91270597
3 23 -11.6318 -1.7    -21.83826399
3 24 -11.6318 -1.6    -21.76879894
3 25 -11.6318 -1.5    -21.70490273
3 26 -11.6318 -1.4     -21.6470928
3 27 -11.6318 -1.3    -21.59575927
3 28 -11.6318 -1.2    -21.55111486
3 29 -11.6318 -1.1    -21.51315746
3 30 -11.6318 -1    -21.48165521
3 31 -11.6318 -0.9    -21.45615979
3 32 -11.6318 -0.8    -21.43604763
3 33 -11.6318 -0.7    -21.42058136
3 34 -11.6318 -0.6    -21.40897936
3 35 -11.6318 -0.5    -21.40048031
3 36 -11.6318 -0.4    -21.39439277
3 37 -11.6318 -0.3    -21.39012547
3 38 -11.6318 -0.2    -21.38719902
3 39 -11.6318 -0.1    -21.38524356
3 40 -11.6318 0    -21.38398795
3 41 -11.6318 0.1    -21.38324608
3 42 -11.6318 0.2    -21.38290442
3 43 -11.6318 0.3    -21.38291385
3 44 -11.6318 0.4    -21.38328804
3 45 -11.6318 0.5    -21.38411005
3 46 -11.6318 0.6    -21.38554927
3 47 -11.6318 0.7    -21.38789018
3 48 -11.6318 0.8    -21.39157363
3 49 -11.6318 0.9    -21.39724806
3 50 -11.6318 1    -21.40582186
3 51 -11.6318 1.1    -21.41849974
3 52 -11.6318 1.2    -21.43677988
3 53 -11.6318 1.3    -21.46239053
3 54 -11.6318 1.4    -21.49716024
3 55 -11.6318 1.5    -21.54283941
3 56 -11.6318 1.6    -21.60091099
3 57 -11.6318 1.7     -21.6724339
3 58 -11.6318 1.8    -21.75795103
3 59 -11.6318 1.9    -21.85747327
3 60 -11.6318 2     -21.9705309
3 61 -11.6318 2.1    -22.09627129
3 62 -11.6318 2.2    -22.23357755
3 63 -11.6318 2.3    -22.38118636
3 64 -11.6318 2.4     -22.5377897
3 65 -11.6318 2.5    -22.70211295
3 66 -11.6318 2.6     -22.8729681
3 67 -11.6318 2.7    -23.04928462
3 68 -11.6318 2.8    -23.23012285
3 69 -11.6318 2.9    -23.41467481
3 70 -11.6318 3    -23.60225698
3 71 -11.6318 3.1    -23.79229851
3 72 -11.6318 3.2    -23.98432754
3 73 -11.6318 3.3    -24.17795721
3 74 -11.6318 3.4    -24.37287235
3 75 -11.6318 3.5    -24.56881758
3 76 -11.6318 3.6    -24.76558678
3 77 -11.6318 3.7    -24.96301414
3 78 -11.6318 3.8     -25.1609666
3 79 -11.6318 3.9    -25.35933764
3 80 -11.6318 4     -25.5580421
4 0 -11.5091 -4    -24.00170774
